Day(200 confirmed cases),Germany,Italy,United States,South Korea,Sweden,Brazil,Colombia
63,1988.97,3271.59,3760.79,207.49,2545.47,1113.01,418.10
64,2003.37,3300.37,3847.63,207.69,2584.85,1150.91,438.78
65,2017.95,3334.97,3930.14,207.88,2619.03,1213.64,455.48
66,2033.04,3369.50,4008.54,208.07,2678.14,1296.74,476.66
67,2041.09,3400.48,4070.55,208.35,2740.70,1391.99,499.48
68,2045.39,3433.00,4126.01,208.52,2806.79,1480.35,525.63
69,2056.65,3464.45,4193.50,208.60,2868.16,1579.66,553.02
70,2066.27,3487.44,4257.11,208.77,2914.32,1658.47,585.10
71,2077.53,3507.64,4340.20,208.89,2960.08,1733.96,608.87
72,2088.54,3525.44,4418.28,209.14,2983.06,1789.75,631.87
73,2096.02,3549.33,4493.24,209.29,3024.50,1867.68,659.64
74,2103.05,3572.52,4551.01,209.35,3095.60,1966.02,691.15
75,2107.18,3594.48,4617.86,209.39,3159.33,2092.13,727.75
76,2113.36,3612.41,4678.99,209.47,3221.88,2220.69,759.14
77,2122.98,3625.68,4750.27,209.70,3259.10,2379.54,787.99
78,2131.96,3637.99,4828.12,210.05,3285.72,2457.87,813.04
79,2137.51,3661.20,4902.04,210.71,3323.42,2513.24,843.77
80,2145.21,3675.89,4967.04,211.39,3382.05,2651.38,871.93
81,2150.40,3692.31,5030.00,211.91,3445.69,2788.07,905.17
82,2153.89,3705.37,5088.36,212.41,3508.44,2935.67,936.87
83,2159.10,3719.85,5146.24,212.98,3581.99,3082.85,970.98
84,2163.47,3731.02,5203.54,213.50,3644.54,3212.10,1010.10
85,2167.73,3738.49,5270.33,213.87,3686.67,3302.43,1055.54
86,2176.66,3751.94,5347.88,214.12,3713.38,3377.16,1099.56
87,2185.57,3762.95,5419.20,214.41,3789.49,3530.36,1138.27
88,2189.01,3773.57,5479.83,214.66,4006.91,3687.49,1182.09
89,2193.03,3784.37,5544.37,215.28,4112.96,3832.68,1247.80
90,2195.60,3795.44,5607.26,215.51,4216.66,3956.71,1311.19
91,2199.73,3804.23,5667.56,215.90,4309.76,4060.33,1360.03
92,2204.48,3809.19,5732.27,216.35,4392.54,4142.01,1422.59
93,2210.59,3815.76,5809.34,216.83,4432.12,4240.58,1475.04
94,2215.50,3825.43,5877.36,217.14,4509.79,4407.28,1524.54
95,2219.13,3835.24,5945.63,217.51,4597.19,4560.94,1597.92
96,2221.71,3843.78,6003.24,218.29,4741.94,4669.62,1670.15
97,2225.94,3850.67,6060.38,219.82,4879.03,4931.09,1749.79
98,2229.77,3856.54,6123.48,220.94,5001.49,5096.59,1835.76
99,2236.47,3859.49,6193.52,221.70,5068.56,5179.94,1901.61
100,2239.58,3864.75,6272.01,222.22,5144.08,5282.25,1969.46
101,2243.78,3870.06,6350.19,222.90,5236.39,5470.52,2027.54
102,2246.76,3872.99,6410.01,223.63,5358.06,5674.49,2113.80
103,2249.07,3881.57,6471.10,224.58,5503.49,5862.98,2198.78
104,2253.63,3886.03,6543.66,225.34,5503.49,6086.69,2269.13
105,2257.79,3889.29,6621.89,226.09,5503.49,6271.41,2349.80
106,2264.79,3893.93,6706.87,227.08,5503.49,6416.90,2426.72
107,2274.08,3898.61,6798.43,228.19,5787.20,6531.72,2492.43
108,2281.32,3901.96,6902.99,228.92,5974.27,6693.30,2579.73
109,2289.61,3908.23,6981.94,229.66,6120.29,6916.30,2665.60
110,2296.09,3910.93,7078.02,230.63,6274.08,7145.95,2776.15
111,2302.16,3916.65,7184.30,231.50,6396.53,7347.52,2917.12
112,2309.24,3922.25,7289.42,232.59,6396.53,7528.57,3012.15
113,2316.83,3927.23,7414.76,233.52,6396.53,7652.93,3117.48
114,2322.59,3930.70,7554.12,234.16,6644.98,7749.51,3196.89
115,2330.87,3936.13,7684.17,234.87,6721.97,7965.79,3313.36
116,2333.96,3941.61,7802.55,235.53,6843.84,8178.57,3422.59
117,2337.12,3939.16,7929.76,236.36,6936.84,8382.03,3589.13
118,2343.13,3943.53,8064.07,237.51,7013.43,8597.09,3774.26
119,2348.75,3947.24,8223.39,238.46,7013.43,8783.39,3951.64
120,2354.82,3950.89,8386.85,239.76,7013.43,8901.93,4087.94
121,2360.20,3952.76,8553.50,240.69,7174.68,8998.77,4227.34
122,2365.29,3962.31,8691.92,241.02,7202.47,9198.60,4373.07
123,2368.17,3967.21,8842.20,241.91,7252.95,9389.19,4526.21
124,2370.81,3971.43,8995.22,242.90,7299.59,9605.95,
125,2375.52,3974.33,9171.14,243.44,7355.08,9769.11,
126,2380.30,3977.21,9351.46,244.19,7355.08,9905.32,
127,2385.64,3979.29,9544.31,245.18,7355.08,10017.64,
128,2390.40,3981.65,9748.26,246.38,7446.21,10114.35,
129,2394.96,3984.66,9941.26,247.20,7463.39,10310.12,
130,2397.95,3987.98,10116.52,248.03,7511.61,10634.08,
131,2399.87,3991.67,10294.41,249.00,7549.42,10920.33,
132,2399.87,3995.56,10504.15,250.05,7589.09,,
133,2409.07,3998.74,10711.43,251.27,7589.09,,
134,2415.51,4002.18,10946.92,252.49,7589.09,,
135,2422.55,4004.45,11165.76,253.67,7664.41,,
136,2428.93,4007.65,11360.90,253.67,7676.00,,
137,2431.36,4011.19,11550.06,255.41,7709.19,,
138,2434.37,4015.76,11723.77,256.63,7734.62,,
139,2440.66,4018.87,11944.31,257.58,,,
140,2446.14,4022.74,12155.06,258.46,,,
141,2453.00,4025.54,12348.50,259.13,,,
142,2462.83,4027.42,,259.99,,,
143,,4030.10,,261.19,,,
144,,4033.91,,261.83,,,
145,,4037.73,,262.58,,,
146,,4041.86,,263.76,,,
147,,4045.46,,264.93,,,
148,,4048.61,,265.68,,,
149,,4050.73,,266.34,,,
150,,4055.36,,266.85,,,
151,,4060.42,,267.72,,,
152,,,,268.94,,,
153,,,,270.08,,,
154,,,,270.88,,,
